1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,join_ratio
2,mnist,FedDA,0,2.3126724922475015,0.060829335161069226,0.4336906327316577,0.06708057149762552,0.18417894575936128,0.5
3,mnist,FedDA,1,2.198595938996504,0.2895819054146676,0.6026204375352204,0.33219058978773547,0.3014737802440259,0.5
4,mnist,FedDA,2,2.0240485483624098,0.35486634681288554,0.6801170999902122,0.33984565039218106,0.23973554453840856,0.5
5,mnist,FedDA,3,1.4098710759862803,0.5327278958190541,0.8843924212746866,0.2716042895360883,0.08674278437779587,0.5
6,mnist,FedDA,4,1.1665738667226362,0.6493602924377427,0.9025745151436668,0.28651132996975426,0.11882384476033947,0.5
7,mnist,FedDA,5,1.135565263744913,0.5807630797349783,0.9196341449321479,0.3222288854449036,0.07852728798035302,0.5
8,mnist,FedDA,6,0.8733348808308196,0.7061343385880741,0.9413347060354866,0.19131372115366535,0.04108012419238371,0.5
9,mnist,FedDA,7,0.6815272338944309,0.7420036554717844,0.954285339068665,0.28425376590241275,0.058536641363196605,0.5
10,mnist,FedDA,8,0.5836535942200429,0.787754169522504,0.964628476280306,0.19188330633922676,0.03088140582639558,0.5
11,mnist,FedDA,9,0.4859795253208211,0.8600639707562258,0.9721109866808196,0.08114699601190647,0.01658396856120747,0.5
12,mnist,FedDA,10,0.7371661389833103,0.7075622572538268,0.953235484999385,0.22456944486959,0.04080237088903008,0.5
13,mnist,FedDA,11,0.49438259975490595,0.8287639936029244,0.9675743174389188,0.16039445176795505,0.029934371014001312,0.5
14,mnist,FedDA,12,0.4482474074011157,0.8520105094813799,0.9728614954017264,0.12159896535863603,0.023390760316298862,0.5
15,mnist,FedDA,13,0.5252081703060069,0.7947224126113777,0.9657225123835047,0.21234862111483643,0.038198175163974855,0.5
16,mnist,FedDA,14,0.46117104721292923,0.8458419008453278,0.9697600497603328,0.1320666996373115,0.027080027794036544,0.5
17,mnist,FedDA,15,0.5274973892314868,0.7994059858350469,0.96527147905828,0.20741988591808422,0.03791384205722458,0.5
18,mnist,FedDA,16,0.4519479944277266,0.8274503084304318,0.971216078017906,0.18149861061495837,0.03120990012058722,0.5
19,mnist,FedDA,17,0.42656003265591197,0.8498971898560658,0.9732748392166599,0.14105075874891423,0.02475122400148154,0.5
20,mnist,FedDA,18,0.41323017687227964,0.8427004797806716,0.9741664685631137,0.16428084035010307,0.026090521388368922,0.5
21,mnist,FedDA,19,0.3084468449518584,0.9007310943568654,0.9825991502983047,0.05248699141071312,0.010328492160201708,0.5
22,mnist,FedDA,20,0.3217847936625196,0.8841101210875029,0.9807960736107727,0.13084924234068426,0.022313500305485186,0.5
23,mnist,FedDA,21,0.2894952600002724,0.9079278044322595,0.9832189372912906,0.08238373973767353,0.017221518713697585,0.5
24,mnist,FedDA,22,0.3179657474847578,0.8817683344756683,0.9817676458810616,0.08274035511779218,0.013315924900919526,0.5
25,mnist,FedDA,23,0.2637878921543942,0.91323966186886,0.9851624024398316,0.07721393120878287,0.015005734586491648,0.5
26,mnist,FedDA,24,0.2958542462957715,0.8975896732922093,0.9821460449743928,0.11381066672438303,0.02113290925680724,0.5
27,mnist,FedDA,25,0.3089993557876966,0.9046721498743432,0.9812943438329118,0.06800154101131567,0.014708285238910974,0.5
28,mnist,FedDA,26,0.34215474612212193,0.8661183458990176,0.9797464572484461,0.18550500820291047,0.028376908666068738,0.5
29,mnist,FedDA,27,0.4009400241956504,0.8462988348183688,0.9736949443071534,0.18904034229118777,0.03346632047657041,0.5
30,mnist,FedDA,28,0.21901106534009826,0.930603152844414,0.9871796854512943,0.029342032905104037,0.006349957059834108,0.5
31,mnist,FedDA,29,0.233911986280212,0.9206648389307746,0.9864286524332728,0.08815682754706199,0.016690356679779018,0.5
32,mnist,FedDA,30,0.2789187518133069,0.8899931459904044,0.9836189651509292,0.15455785434597127,0.023094641681407867,0.5
33,mnist,FedDA,31,0.25845781686002184,0.9042723326479324,0.9843547489446045,0.11925595187402024,0.02133951327406882,0.5
34,mnist,FedDA,32,0.18778632333021628,0.9358007767877542,0.9896094680238875,0.04740843386872837,0.009033353345658239,0.5
35,mnist,FedDA,33,0.20666829604781695,0.9350011423349326,0.9879333185618481,0.04868497842647432,0.010340026080026895,0.5
36,mnist,FedDA,34,0.1797092149895205,0.9388279643591501,0.9902505108506924,0.03566158316500585,0.006805758238788631,0.5
37,mnist,FedDA,35,0.22166058691467877,0.9190084532785012,0.9879945457562257,0.07244772234676544,0.011193011224462611,0.5
38,mnist,FedDA,36,0.2538602978557629,0.9011880283299063,0.9861942182446463,0.11855531299339665,0.016409242595832336,0.5
39,mnist,FedDA,37,0.2189702559508258,0.9262622801005255,0.9874234813763887,0.06950900423610638,0.011962934712398688,0.5
40,mnist,FedDA,38,0.1966574636451752,0.934715558601782,0.9893014589598603,0.028983062109742157,0.005902781330999075,0.5
41,mnist,FedDA,39,0.18398935231796726,0.9389993145990404,0.9895443046485196,0.04428316851992568,0.009089149722267882,0.5
42,mnist,FedDA,40,0.2149860913390276,0.9260909298606351,0.9878297750685943,0.06598920882129444,0.012867324573081448,0.5
43,mnist,FedDA,41,0.20719313166654785,0.9227781585560887,0.9884240254269381,0.08609775859167344,0.013988724165628984,0.5
44,mnist,FedDA,42,0.19205523418286594,0.9327735892163582,0.9896487362276005,0.0528563327986415,0.009206381445082018,0.5
45,mnist,FedDA,43,0.2283949746521158,0.9167809001599269,0.9869575242357979,0.0767484539080465,0.012527116773648381,0.5
46,mnist,FedDA,44,0.3089234168855021,0.8834818368745716,0.983683385941821,0.1537636407627527,0.02203705984345315,0.5
47,mnist,FedDA,45,0.16847124571804462,0.9424263193968472,0.9909541171116778,0.05461457909334909,0.009803939516023175,0.5
48,mnist,FedDA,46,0.14963417213842198,0.9503084304318026,0.9920058771357737,0.02649116613543055,0.005687946961859017,0.5
49,mnist,FedDA,47,0.13094663293185482,0.9557916381082934,0.9933530042279961,0.019878572612031763,0.004597362719007782,0.5
50,mnist,FedDA,48,0.138409454973878,0.9532213845099383,0.9928470539447012,0.029583277200908357,0.005758766284167967,0.5
51,mnist,FedDA,49,0.14120412350404724,0.9532785012565684,0.9929686616820914,0.03225203981332626,0.00638638795699083,0.5
52,mnist,FedDA,50,0.12198604084168653,0.9603038610920722,0.9931654835102696,0.01818827183913685,0.0035341587308011747,0.5
53,mnist,FedDA,51,0.1349420442080456,0.9556774046150331,0.9924635903692026,0.023032622446218797,0.004613204009334978,0.5
54,mnist,FedDA,52,0.16845570642211105,0.9447109892620517,0.9905044445092126,0.03733190452903175,0.0070184716331317416,0.5
55,mnist,FedDA,53,0.16648690468681784,0.9428832533698881,0.9904585373155285,0.047575538244914055,0.008918264898913553,0.5
56,mnist,FedDA,54,0.1316469415841235,0.9537354352296094,0.9932796717542615,0.032021465133497455,0.005822838974076514,0.5
57,mnist,FedDA,55,0.14900480895331517,0.9521361663239661,0.9915924290293321,0.03992754854576852,0.0077171418742192546,0.5
58,mnist,FedDA,56,0.1035698117338247,0.9635595156499885,0.994450651002159,0.013004383555260698,0.0028803979566271445,0.5
59,mnist,FedDA,57,0.18700627724292854,0.9284898332190998,0.9901234808557601,0.084517669835768,0.011909579199427424,0.5
60,mnist,FedDA,58,0.17961982771446244,0.9388850811057802,0.9895187288298132,0.050999323787128785,0.01051631630285271,0.5
61,mnist,FedDA,59,0.11275891059508501,0.9611034955448937,0.9944089731346891,0.01918953906166863,0.0038449669174510192,0.5
62,mnist,FedDA,60,0.15873305742954041,0.9425405528901074,0.9916533656565059,0.043458604936200455,0.007060710743731841,0.5
63,mnist,FedDA,61,0.11084548546401937,0.9617888965044551,0.994022101000302,0.013467061711541656,0.0027071716637685895,0.5
64,mnist,FedDA,62,0.12245039490756059,0.9531642677633082,0.9933852553217574,0.027679185010032633,0.004603071236292636,0.5
65,mnist,FedDA,63,0.14680019632877084,0.9485949280328992,0.9921179438341684,0.03450835876728227,0.006150381016669112,0.5
66,mnist,FedDA,64,0.15388495829352655,0.9435686543294494,0.9916278445886659,0.06426838596309258,0.01074466140776642,0.5
67,mnist,FedDA,65,0.1101580819270844,0.9634452821567283,0.993761527902702,0.01852991968777805,0.0035451076656208137,0.5
68,mnist,FedDA,66,0.10134223919053408,0.9649303175691113,0.99488495027747,0.016440967325989944,0.0032459662042971103,0.5
69,mnist,FedDA,67,0.10450369188663149,0.9631596984235778,0.9947200199807436,0.02485056019049438,0.004463831789465564,0.5
70,mnist,FedDA,68,0.16839580711993993,0.9401987662782728,0.9917425179034971,0.06601602120335842,0.009630538651327994,0.5
71,mnist,FedDA,69,0.09332070752629745,0.9668722869545351,0.9951938298997437,0.013674119491384423,0.0026130343889442507,0.5
